model,max_depth,depth,base_best,base_best relative,base_time (best),base_time (all),base_tree nodes,base_tree depth,mod_best,mod_best relative,mod_time (best),mod_time (all),mod_tree nodes,mod_tree depth,better_best,better_best relative,better_time (best),better_time (all),better_tree nodes,better_tree depth
qcomp-firewire-3,5,N/A,,,,,,,,,197.82,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,6,N/A,,,560.6,,,,,,32.69,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,7,N/A,,,471.16,,,,,,235.75,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,8,5,,,,,,,-70.0449,1.0,327.95,328.41,21.0,5.0,mod,mod,mod,mod,mod,mod
qcomp-firewire-3,8,N/A,,,418.16,,,,,,,,,,tie,tie,base,tie,tie,tie
qcomp-philosophers-4,1,1,0.8987,0.2285,120.38,613.98,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,1,N/A,,,,,,,,,53.29,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,2,1,0.8987,0.2285,113.05,914.38,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,2,N/A,,,,,,,,,50.75,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,3,1,0.8987,0.2285,115.22,1018.25,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,3,N/A,,,,,,,,,51.29,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,4,4,0.9606,1.0,473.77,474.75,8.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,4,N/A,,,,,,,,,50.32,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,5,N/A,,,114.43,,,,,,50.17,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,6,3,0.9606,1.0,218.44,219.38,6.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,6,N/A,,,,,,,,,51.14,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,7,5,0.9606,1.0,377.66,378.6,9.0,5.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,7,N/A,,,,,,,,,50.43,,,,tie,tie,mod,tie,tie,tie
