model,max_depth,depth,class,base_best,base_time (best),base_time (all),base_tree nodes,base_tree depth,mod_best,mod_time (best),mod_time (all),mod_tree nodes,mod_tree depth
qcomp-firewire-3,2,2,unknown,-70.2842,468.69,897.85,3.0,2.0,,,,,
qcomp-firewire-3,2,N/A,unknown,,,,,,,33.28,,,
qcomp-firewire-3,3,3,unknown,-70.0987,549.79,1004.54,7.0,3.0,,,,,
qcomp-firewire-3,3,N/A,unknown,,,,,,,33.69,,,
qcomp-firewire-3,4,3,unknown,-70.1035,351.13,454.4,7.0,3.0,,,,,
qcomp-firewire-3,4,N/A,unknown,,,,,,,224.83,,,
qcomp-firewire-3,5,5,unknown,-70.2715,516.08,1100.49,8.0,5.0,,,,,
qcomp-firewire-3,5,N/A,unknown,,,,,,,197.82,,,
qcomp-firewire-3,6,N/A,unknown,,560.6,,,,,32.69,,,
qcomp-firewire-3,7,N/A,unknown,,471.16,,,,,235.75,,,
qcomp-firewire-3,8,5,unknown,,,,,,-70.0449,327.95,328.41,21.0,5.0
qcomp-firewire-3,8,N/A,unknown,,418.16,,,,,,,,
qcomp-philosophers-4,1,1,unknown,0.8987,120.38,613.98,1.0,1.0,,,,,
qcomp-philosophers-4,1,N/A,unknown,,,,,,,53.29,,,
qcomp-philosophers-4,2,1,unknown,0.8987,113.05,914.38,1.0,1.0,,,,,
qcomp-philosophers-4,2,N/A,unknown,,,,,,,50.75,,,
qcomp-philosophers-4,3,1,unknown,0.8987,115.22,1018.25,1.0,1.0,,,,,
qcomp-philosophers-4,3,N/A,unknown,,,,,,,51.29,,,
qcomp-philosophers-4,4,4,unknown,0.9606,473.77,474.75,8.0,4.0,,,,,
qcomp-philosophers-4,4,N/A,unknown,,,,,,,50.32,,,
qcomp-philosophers-4,5,N/A,unknown,,114.43,,,,,50.17,,,
qcomp-philosophers-4,6,3,unknown,0.9606,218.44,219.38,6.0,3.0,,,,,
qcomp-philosophers-4,6,N/A,unknown,,,,,,,51.14,,,
qcomp-philosophers-4,7,5,unknown,0.9606,377.66,378.6,9.0,5.0,,,,,
qcomp-philosophers-4,7,N/A,unknown,,,,,,,50.43,,,
qcomp-philosophers-4,8,5,unknown,0.9606,334.55,335.55,9.0,5.0,,,,,
qcomp-philosophers-4,8,N/A,unknown,,,,,,,51.43,,,
qcomp-pnueli-zuck-3,1,1,unknown,0.8442,285.32,511.4,1.0,1.0,,,,,
qcomp-pnueli-zuck-3,1,N/A,unknown,,,,,,,23.72,,,
qcomp-pnueli-zuck-3,2,2,unknown,0.9606,878.59,909.63,3.0,2.0,,,,,
qcomp-pnueli-zuck-3,2,N/A,unknown,,,,,,,22.37,,,
qcomp-pnueli-zuck-3,3,1,unknown,0.8073,82.85,1010.85,1.0,1.0,,,,,
qcomp-pnueli-zuck-3,3,N/A,unknown,,,,,,,22.99,,,
qcomp-pnueli-zuck-3,4,4,unknown,0.9606,465.43,466.09,5.0,4.0,,,,,
qcomp-pnueli-zuck-3,4,N/A,unknown,,,,,,,22.47,,,
qcomp-pnueli-zuck-3,5,4,unknown,0.9606,376.05,376.72,5.0,4.0,,,,,
qcomp-pnueli-zuck-3,5,N/A,unknown,,,,,,,145.39,,,
qcomp-pnueli-zuck-3,6,4,unknown,0.9606,317.05,317.75,5.0,4.0,,,,,
qcomp-pnueli-zuck-3,6,N/A,unknown,,,,,,,125.18,,,
qcomp-pnueli-zuck-3,7,4,unknown,0.9606,271.39,271.96,5.0,4.0,,,,,
qcomp-pnueli-zuck-3,7,N/A,unknown,,,,,,,110.99,,,
qcomp-pnueli-zuck-3,8,4,unknown,0.9606,238.83,239.4,5.0,4.0,,,,,
qcomp-pnueli-zuck-3,8,N/A,unknown,,,,,,,100.86,,,
qcomp-resource-gathering-5,1,1,tie,-95.1392,1.0,5.22,1.0,1.0,-95.1392,0.92,6.73,1.0,1.0
qcomp-resource-gathering-5,2,2,unknown,-53.9064,14.56,86.97,3.0,2.0,,,,,
qcomp-resource-gathering-5,2,N/A,unknown,,,,,,,31.84,,,
qcomp-resource-gathering-5,3,3,unknown,-47.7105,87.3,88.6,7.0,3.0,,,,,
qcomp-resource-gathering-5,3,N/A,unknown,,,,,,,34.28,,,
qcomp-resource-gathering-5,4,3,unknown,-47.7105,87.69,89.02,7.0,3.0,,,,,
qcomp-resource-gathering-5,4,N/A,unknown,,,,,,,31.2,,,
